t_and_o_map  europe continent europa_regina 
subtropical_ridge  tropical_cyclone hurricane extratropical_cyclone low-pressure_area anticyclone high-pressure_area cyclone rain weather_system depression_(weather) cyclogenesis gulf_stream westerlies subtropical_cyclone convection wind low_pressure_system precipitation_(meteorology) extratropical_transition_technique centers_of_action mesocyclone polar_low polar_high siberian_high azores_high aleutian_low atlantic_hurricane genoa_low icelandic_low kona_storm pacific_hurricane polar_vortex typhoon colorado_low prevailing_westerlies 
middle_ages  hail europe european_union istanbul london madrid continent mediterranean_sea classical_antiquity demographics_of_europe ancient_greece western_civilization migration_period renaissance_humanism americas industrial_revolution western_europe council_of_europe vatican_city european_integration schengen_area frangistan franks albania belgium bulgaria croatia czech_republic denmark france georgia_(country) greece hungary italy kosovo norway poland romania spain sweden ukraine faroe_islands armenia cyprus greenland adriatic_sea baltic_sea barents_sea roman_era posidonius christendom europa_regina history_of_europe stonehenge balkans danube rhine mediterranean_coast burial_mound ancient_rome democracy humanism aristotle socrates plato historiography thucydides hippocrates galen archimedes roman_empire latin germanic_peoples late_antiquity early_middle_ages carolingian_empire decline_of_the_roman_empire ostrogoths visigoths goths vandals saxons magyars renaissance petrarch byzantine_empire code_of_justinian fealty charlemagne croats sasanids history_of_islam_in_southern_italy asturias al-andalus frankish_empire charles_martel holy_roman_empire serbian_empire kiev high_middle_ages late_middle_ages medieval_demography maritime_republics nobility monarchy parliament papacy crusades ottoman_empire mongol_invasion_of_europe france_in_the_middle_ages black_death persecution_of_jews early_modern_period scientific_revolution florence latin_language music pope rome quattrocento protestant polish%e2%80%93lithuanian_commonwealth habsburg_dynasty christopher_columbus england italian_unification russian_empire habsburg_empire greek_war_of_independence interwar_period history_of_the_european_union communist secularism sudetenland danzig british_empire the_holocaust refugee geography_of_europe ireland geology_of_europe scottish_highlands southern_europe oak wolf european_brown_bear balkan eurasian_wolf european_bison mediterranean dolphin politics_of_europe regions_of_europe republic eurozone brussels sarajevo tallinn budapest vilnius podgorica amsterdam oslo bucharest stockholm pristina transnistria tiraspol akrotiri_and_dhekelia t%c3%b3rshavn 
zagreb  europe european_union moscow paris london madrid demographics_of_europe vatican_city bosnia_and_herzegovina croatia gibraltar monaco slovenia balkans athens croats south_slavs kiev mongol_invasion_of_europe rome austro-hungarian_empire yugoslav_nationalism austria-hungary gulag second_polish_republic berlin southern_europe balkan tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol 
russian_federation  europe moscow borders_of_the_continents black_sea soviet_union revolutions_of_1989 council_of_europe list_of_transcontinental_countries boundaries_between_continents transcontinental_country latvia poland ukraine megalithic_tomb megalithic high_middle_ages turkic_peoples great_power population_transfer_in_the_soviet_union molotov%e2%80%93ribbentrop_pact nuclear_proliferation european_bison capital_city capital_(political) tskhinvali transnistria 
lithuania  europe european_union demonym moscow paris london madrid russian_federation demographics_of_europe soviet_union cold_war iron_curtain nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration enlargement_of_the_european_union euro schengen_area albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france gibraltar germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom faroe_islands armenia cyprus greenland baltic_sea europa_regina muscovy history_of_europe balkans corded_ware athens city_states huns byzantine_empire kiev late_middle_ages parliament ottoman_empire mongol_invasion_of_europe turkic_peoples tatars golden_horde rome grand_duchy_of_lithuania polish%e2%80%93lithuanian_commonwealth prussia austro-hungarian_empire russian_empire great_britain interwar_period world_war_ii central_powers austria-hungary german_empire russian_civil_war gulag fascism kingdom_of_italy turkish_republic nazi_germany czechoslovakia second_polish_republic danzig molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii allies_of_world_war_ii berlin world_war_ii_casualties decolonisation european_parliament geography_of_europe ireland oak balkan central_and_eastern_europe bia%c5%82owie%c5%bca_forest regions_of_europe eurozone nordic_council area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density vienna brussels sofia zagreb nicosia prague copenhagen tallinn tbilisi budapest reykjav%c3%adk dublin riga vilnius luxembourg_(city) valletta amsterdam oslo warsaw lisbon bucharest bratislava ljubljana stockholm list_of_states_with_limited_recognition northern_cyprus akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
berlin_wall  europe european_union soviet_union cold_war iron_curtain nato warsaw_pact revolutions_of_1989 berlin_wall winston_churchill enlargement_of_the_european_union germany history_of_europe history_of_the_european_union russian_civil_war stalin great_purge nkvd yalta_conference joseph_stalin berlin battle_of_berlin refugee glasnost visegr%c3%a1d_group 
bailiwick_of_guernsey  europe demographics_of_europe channel_islands gibraltar isle_of_man united_kingdom england crown_dependencies british_overseas_territories countries_of_the_united_kingdom akrotiri_and_dhekelia jersey 
ural_mountains  arctic_ocean ocean blocking_anticyclone europe continent atlantic_ocean mediterranean_sea eurasia borders_of_the_continents caucasus_mountains ural_river caspian_sea asia russian_federation demographics_of_europe renaissance_exploration age_of_discovery americas africa oceania western_europe soviet_union cold_war revolutions_of_1989 maghreb anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country germany hungary moldova russia north_america muscovy arkhangelsk balkans near_east mediterranean_coast mediterranean_basin goths slavs magyars asia_minor caucasus slavic_peoples mongol_invasion_of_rus golden_horde ivan_the_terrible new_world russian_empire russian_revolution russian_civil_war soviet_famine_of_1932-1933 kulak gulag great_purge nkvd population_transfer_in_the_soviet_union glasnost geography_of_europe italian_peninsula geology_of_europe baltic_shield east_european_craton pangea southern_europe forest european_brown_bear balkan mediterranean 
latitude  tropical_cyclone hurricane extratropical_cyclone cyclone rain middle_latitudes equator westerlies subtropical_cyclone convection wind zonal_flow precipitation_(meteorology) pascal_(unit) wellington extratropical_transition_technique tropical_cyclogenesis subtropical_ridge pacific_hurricane renaissance_exploration age_of_discovery finland norway spain sweden adriatic_sea baltic_sea ptolemy iberia iberian_peninsula christopher_columbus england great_britain alpine_tundra taiga montane_forest temperate_steppe temperate prevailing_westerlies pinophyta birch steppe biogeography mollusc baku luxembourg_(city) 
united_kingdom_european_union_membership_referendum,_2016  pound_sterling renminbi europe european_union london enlargement_of_the_european_union channel_islands gibraltar isle_of_man united_kingdom strait_of_gibraltar pillars_of_hercules history_of_europe brexit 
dissolution_of_the_soviet_union  united_states great_plains rocky_mountains united_states_dollar europe caucasus_mountains caspian_sea asia russian_federation modern_era western_europe soviet_union cold_war iron_curtain nato warsaw_pact revolutions_of_1989 berlin_wall winston_churchill belarus kazakhstan azerbaijan bulgaria germany georgia_(country) iceland lithuania moldova russia ukraine armenia history_of_europe caucasus modern_history great_power great_depression world_war_ii russian_revolution communist russian_civil_war stalin gulag great_purge nkvd population_transfer_in_the_soviet_union danzig molotov%e2%80%93ribbentrop_pact yalta_conference joseph_stalin superpower glasnost bia%c5%82owie%c5%bca_forest visegr%c3%a1d_group yerevan baku astana abkhazia stepanakert 
norway  european_windstorm southern_hemisphere 70th_parallel_south gulf_stream arctic_ocean united_states norwegian_cyclone_model bergen_school_of_meteorology great_storm_of_1987 europe european_union demonym russian_federation demographics_of_europe western_europe soviet_union iron_curtain nato revolutions_of_1989 council_of_europe belarus kazakhstan vatican_city european_integration confederation enlargement_of_the_european_union schengen_area albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands svalbard poland portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom faroe_islands armenia cyprus greenland baltic_sea barents_sea north_sea norwegian_sea arkhangelsk lascaux balkans burial_mound corded_ware democracy germanic_peoples early_middle_ages vandals vikings roland croats serbs late_middle_ages monarchy protestant_reformation protestant england congress_of_vienna revolutions_of_1848 great_britain trade_union world_war_ii history_of_the_european_union franz_joseph_i_of_austria turkish_republic czechoslovakia european_theatre_of_world_war_ii battles_of_narvik phoney_war battle_of_britain operation_barbarossa allies_of_world_war_ii normandy_landings world_war_ii_casualties european_community geography_of_europe taiga geology_of_europe pangea scandinavian_mountains fennoscandia beech oak european_brown_bear balkan polar_bear regions_of_europe republic constitutional_monarchy nordic_council area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population list_of_countries_by_population_density sarajevo zagreb copenhagen tallinn reykjav%c3%adk vilnius oslo warsaw lisbon stockholm pristina northern_cyprus tiraspol akrotiri_and_dhekelia %c3%85land_islands %c3%85land mariehamn t%c3%b3rshavn 
